zip,lat,lon,state
21677,38.5026,-76.1833,MD
23872,36.9986,-77.7396,VA
28326,35.3106,-79.3472,NC
41825,37.2246,-82.7228,KY
56484,47.0877,-94.5847,MN
58545,47.3271,-101.6107,ND
59528,48.587,-110.4275,MT
66945,39.8927,-96.8689,KS
74436,35.8108,-95.684,OK
77326,30.5209,-94.8221,TX
6028,41.8592,-72.603,CT
20852,39.0496,-77.1204,MD
28315,35.1216,-79.445,NC
30005,34.0782,-84.2281,GA
39236,32.2988,-90.1848,MS
43611,41.7045,-83.4892,OH
53079,43.8074,-88.1845,WI
54832,46.3119,-91.2856,WI
2911,41.8547,-71.4735,RI
6002,41.8316,-72.7249,CT
8512,40.3039,-74.5065,NJ
11797,40.8154,-73.4716,NY
16111,41.5333,-80.2863,PA
20670,38.2791,-76.4381,MD
38233,36.1906,-89.0229,TN
48215,42.3773,-82.9513,MI
71034,32.1752,-93.3047,LA
72687,36.2253,-92.7245,AR
75058,33.4495,-96.7341,TX
95365,37.2908,-120.3185,CA
97750,44.5657,-120.1456,OR
15203,40.4254,-79.9799,PA
22107,38.9321,-77.1841,VA
29440,33.4308,-79.3235,SC
38473,35.05,-87.1522,TN
40510,38.0702,-84.591,KY
52739,41.3805,-91.3465,IA
57043,43.4188,-97.2771,SD
62044,39.3491,-90.2089,IL
62934,37.7278,-88.3445,IL
90294,33.9908,-118.4601,CA
93737,36.7477,-119.7724,CA
98253,48.1004,-122.5761,WA
17703,41.2412,-77.0011,PA
28318,35.0997,-78.6021,NC
34712,28.5494,-81.7729,FL
80128,39.5918,-105.0832,CO
98847,47.5458,-120.5961,WA
1106,42.0507,-72.5676,MA
14754,42.0319,-78.2097,NY
17246,40.0531,-77.6539,PA
18321,41.008,-75.2967,PA
28054,35.2495,-81.133,NC
28810,35.6203,-82.5286,NC
31648,30.7065,-83.019,GA
32134,29.391,-81.8551,FL
49002,42.1938,-85.5639,MI
49887,45.4166,-87.6258,MI
72029,34.6601,-91.2564,AR
73553,34.391,-98.7235,OK
73945,36.8109,-101.2163,OK
80929,38.7968,-104.6079,CO
84510,37.2161,-109.1871,UT
86001,35.1859,-111.662,AZ
91436,34.151,-118.4882,CA
